id,review,places
33,"Nariman point is a location known to be for offices of most of the companies. The various towers here has offices of all types of companies viz, banks, insurance, shipping , MNCs etc etc. It also has residential areas but is more famous for offices. Local eating joints on the",Nariman Point
34,"Quality time to spend . Good breeze , very scenic view , good foot massage , highly relaxing and soothing effect . Great feel. ",Nariman Point
35,Very picturesque site. Lots of colour and vibrance. Clean and well maintained. Worth a visit for a walk.,Nariman Point
36,Nariman point is the place which is at the end of marine drive. A lot of people go here for hang out. It is opposite trident hotel and is a sea face.,Nariman Point
37,Love the views here.. Can sit by the rocks and keep looking at the sea forever.. So calming.. Great for a walk/run too,Nariman Point
38,A very great place to see sunset in Mumbai as it is very near to sea and also very nicely maintained.,Nariman Point
39,"Nariman point is the end point of Marine drive located in Churchgate, Mumbai. People usually walk, run or do yoga here in morning and at night people spend some time here in open air and with voice of the ocean.",Nariman Point
40,"Though there are many places to see the see, it is one of the place. It is famous because of different offices located here. The place is clean. You can skip this place if you are not having time. ",Nariman Point
41,"A very good place to see sunset and enjoy tides in every season, this place is a must see in mumbai.",Nariman Point
42,You can see the curve of Mumbai from here. A beautiful sight to see at night when the lights are on. ,Nariman Point
43,"The arena Of business offices,sea facing view child sea breeze and sunset drinks give a high degree of Happiness,near the marine drive can be easy to go.",Nariman Point
44,"A quick visit to this place which is a major business area. Mumbai is rapidly expanding on reclaimed land , to meet the ever increasing demand for space. Lots os culture/history and a great place to enjoy the Indian ambiance",Nariman Point
45,"Made on reclaimed land, Nariman point is located at the far end of Mumbai with Mumbai's first corporate skyscrapers and fancy cafes and restaurants. Its clean and feels a bit out of a first world country. The creme de la creme of Mumbai. Not really a touristy place but fun if",Nariman Point
46,a lot of history attached to this place and one of few places that you can enjoy the ocean breeze and hear the ocean in Mumbai. ,Nariman Point
47,"a place to enjoy view,sea and culture of India . The Tata theater is worth a visit to enjoy shows without using any audio aids .Enjoy the horse cart ride too",Nariman Point
48,I had an appointment in Nariman Point and the whole location is much different than other places in Mumbai.,Nariman Point
49,"If you are feeling unnecessarily unhappy and you feel very sad then once you come to this place, then you will start feeling your life very dear.  This place has lots of attractions.  That attraction makes the heart happy.",Nariman Point
50,Its place where u can feel relieved from sorrows and sad feelings.I have been to this beach when I visited Mumbai.Its a nice place to visit.Guards may scold you if you try to play with lashes.,Nariman Point
51,It's a wonderful place to visit in Mumbai. Wonderful view would attract you to spend more time at this particular place.  Must visit if you are in Mumbai. ,Nariman Point
52,Nariman point is a well known place for hanging out with your buddies.  It is probably one of the go to go place for mumbaikars.  Recommended time to visit over here is during sunsets.  ,Nariman Point
53,"Nariman Point is the most prime area of Mumbai and the area caters to all the highs of city. Government Offices, Biggest Hotel Chains, Beach location, Connectivity, Sports Ground, Mumbai University all are so near to this area and hence it is a real privilege to be here. The",Nariman Point
54,"This place is located on the southern tip of the Mumbai, at the end of the Mumbai's famous Marine Drive. It looks beautiful in the night in the back ground of Arabian sea.",Nariman Point
55,Its place where u can feel relieved from sorrows and sad feelings.I have been to this beach when I visited Mumbai.Its a nice place to visit.Guards may scold you if you try to play with lashes.,Nariman Point
56,It's a wonderful place to visit in Mumbai. Wonderful view would attract you to spend more time at this particular place.  Must visit if you are in Mumbai. ,Nariman Point
57,Nariman point is a well known place for hanging out with your buddies.  It is probably one of the go to go place for mumbaikars.  Recommended time to visit over here is during sunsets.  ,Nariman Point
58,"Nariman Point is the most prime area of Mumbai and the area caters to all the highs of city. Government Offices, Biggest Hotel Chains, Beach location, Connectivity, Sports Ground, Mumbai University all are so near to this area and hence it is a real privilege to be here. The",Nariman Point
59,"This place is located on the southern tip of the Mumbai, at the end of the Mumbai's famous Marine Drive. It looks beautiful in the night in the back ground of Arabian sea.",Nariman Point
60,It's the business hub of Mumbai.  Situated near the southern most tip of Mumbai.  My office is in nariman point.  All major corporates had offices there but now many have moved to North.  Nice place to have street food,Nariman Point
61,"Khursheed Nariman, visionary, municipal developer, developed the area as the first business district. One among the first three places of Back Bay Reclamation land. Walk through the place and see the Nariman Bhavan where big companies are housed but today Bandra-Kurla-Complex",Nariman Point
62,"You may sit at the promenades and enjoy the sea view with evening breeze making it even more soothing. In the evening, the street lights across Marine Drive resemble a queen's necklace and is a sight to behold.",Nariman Point
63,It should be on your list of the places if you are visiting mumbai..and if lord Kuber is satisfied with you then book a room in Nariman Point..can’t get better..,Nariman Point
64,"First business centre of Mumbai,on reclaimed land from Arabian Sea. Famous for corporate houses, iconic Air India, Maharaaja bldg, Oberoi hotel, innumerable office blgs & good restaurants. Unfortunately hawker menace & shifting if cbd to bkc has made it less attractive.",Nariman Point
65,It located in the south of Mumbai and is very posh locality. It is close to the sea which is usually very breezy and you see people having their morning and evening walks around this place.,Nariman Point
66,Hot and happening attraction of mumbai.u can sit walk run play liedown anything u can do for free.nk one is bothered about u and everybody is busy by his own business,Nariman Point
67,Nariman Point located in southern part of the city is one of the busy commercial districts. Very close to sea makes it more attractive.,Nariman Point
68,A drive along gives you some idea of the area.  Funny to see people at the beach but not swimming at all in 40 deg heat!!!!  Not like us Aussies. ,Nariman Point
69,"SImply awestruck! This is one of the well-renowned places to visit when in Mumbai. Looks pretty at night though, with all those street lamps glowing in the beauty of darkness to form a necklace. Fresh Air, Less Noisy, Calm Atmosphere, Flickering Waves is the definition for this",Nariman Point
0,"The caves themselves are quite interesting with engraved pillars, shrines and large sculptures of Shiva, based on Hindu mythology.  Disappointingly, the sculptures are quite badly damaged and the elephant statue (for which the caves were named) is not located here, it is at The",Elephanta Caves
1,"I had an overtly high expectation from an UNESCO world heritage site, but i am ashamed to admit that the locals from that area have turned it into a cheap business unit and a garbage dump . you don't wanna peak outside the set path that leads to the caves or you will be",Elephanta Caves
2,"Located about an hour's ferry ride from the iconic gateway of India, these r a cluster of 7 caves supposedly built in the 6-7th century. They r a UNESCO World herotage site. Truly beautiful and magnificent. Just ignore the way up which has become a bit cluttered due to local",Elephanta Caves
3,"Only thing not to like is the walk up to the caves surrounded by vendors. We picked up a very knowledgeable young local guide, who gave us a wealth of information. ",Elephanta Caves
4,"Wonderful place to visit. Nice and clean and well maintained. Do take a guide for better appreciation. Statues of Shiva in various states. Site is of 7th century. Cannon hill point gives some nice views, which is further 10 minutes uphill.  ",Elephanta Caves
5,An hour long ferry ride from the Gateway of India will take joy to this island that hosts the UNESCO world heritage site. Its 7 th century set of temple mainly of lord Shiva. The temple were carved out of the mountain and host some lovely sculpture work ; though a lot of these,Elephanta Caves
